text,is_scam,language
Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,1,English
अगर मैं पूरी रीति से नहीं मिलूंगा तो मैं घर चला जाऊंगा। यदि आपको आने का मन नहीं है तो ठीक है।,0,Hindi
Talk to g and x about that,0,English
Its a part of checking IQ,0,English
Sorry about that this is my mates phone and i didnt write it love Kate,0,English
You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,1,English
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,1,English
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,1,English
"परिपक्वता की निशानी तब नहीं होती जब हम बड़ी-बड़ी बातें कहने लगते हैं.. बल्कि असल में परिपक्वता की निशानी तब होती है, जब हम छोटी-छोटी बातें समझने लगते हैं... *आपकी शाम शुभ हो* बीएसएलवीवाईएल",0,Hindi
निजी! आपके 2003 के खाता विवरण में 800 अन-रिडीम्ड एस.आई.एम. अंक दर्शाए गए हैं। कॉल करें 08715203652 पहचानकर्ता कोड: 42810 29/10/0 को समाप्त हो रहा है,1,Hindi
Got it! It looks scrumptious... daddy wants to eat you all night long!,0,English
He's in lag. That's just the sad part but we keep in touch thanks to skype,0,English
How long does applebees fucking take,0,English
"हैलो मेरी जान! वह दिन कैसा बीतता है? मैं आपकी बेटी के अच्छे और अच्छे होने की कामना करता हूं और आशा करता हूं कि आपको नौकरी की कुछ संभावनाएं मिलेंगी। मुझे तुम्हारी याद आती है, बॉयटॉय... *एक चिढ़ाने वाला चुंबन*",0,Hindi
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",1,English
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,1,English
अभी अपना पहला रिंगटोन निःशुल्क प्राप्त करें! इस संदेश का उत्तर टोन के साथ दें। आपके फ़ोन पर Gr8 टॉप 20 टोन हर सप्ताह केवल £1.50 प्रति सप्ताह 2 ऑप्ट आउट भेजें STOP 08452810071 16 भेजें,1,Hindi
"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",0,English
Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,0,English
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",1,English
आपका कैश-बैलेंस वर्तमान में 500 पाउंड है - अपने कैश-इन को अधिकतम करने के लिए 86688 पर केवल 150p/संदेश के साथ GO भेजें। सीसी: 08718720201 पीओ बॉक्स 114/14 टीसीआर/डब्ल्यू1,1,Hindi
"अति आवश्यक! हमारे पास देने के लिए यूरोप के लिए 800 मुफ़्त उड़ानें हैं, 10 सितंबर को बी4 पर कॉल करें और एक मित्र को 4 मुफ़्त में ले जाएं। 09050000555 पर दावा करने के लिए अभी कॉल करें। BA128NNFWFLY150ppm",1,Hindi
it to 80488. Your 500 free text messages are valid until 31 December 2005.,1,English
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1,English
Do u hav any frnd by name ashwini in ur college?,0,English
"pdate_Now - ऑरेंज टैरिफ पर डबल मिनट और 1000 टेक्स्ट। नवीनतम मोटोरोला, सोनी एरिक्सन और नोकिया तथा ब्लूटूथ मुफ़्त! MobileUpd8 को 08000839402 पर कॉल करें या 2optout/!YHL पर कॉल करें",1,Hindi
अगं तुमच्याकडचे सिनेमे बघायला कसे जातात.,0,Marathi
LOL ... No just was busy,0,English
" came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",0,English
This message is brought to you by GMW Ltd. and is not connected to the,1,English
Ok lor...,0,English
Aight ill get on fb in a couple minutes,0,English
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",1,English
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,English
ठीक आहे...,0,Marathi
Yo dude guess who just got arrested the other day,0,English
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,English
कोणीतरी आमच्या डेटिंग सेवेशी संपर्क साधला आहे आणि तुमचा फोन एंटर केला आहे कारण ते तुम्हाला आवडतात! लँडलाइन 09111030116 वरून कॉल कोणाला आहे हे शोधण्यासाठी. PoBox12n146tf15,1,Marathi
"अति आवश्यक! कृपया अपने लैंडलाइन से 09066612661 पर कॉल करें, आपका मानार्थ 4* लक्स कोस्टा डेल सोल अवकाश या £1000 नकद संग्रह की प्रतीक्षा है। पीपीएम 150 एसएई टी एंड सी जेम्स 28, ईएच74आरआर",1,Hindi
His bday real is in april .,0,English
Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,0,English
WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,1,English
एसएमएस लिलाव - एक नवीन नोकिया 7250 आज 4 व्या क्रमांकावर आहे! लिलाव विनामूल्य आहे 2 सामील व्हा आणि भाग घ्या! NOKIA ला आता 86021 वर मजकूर पाठवा! HG/Suite342/2Lands Row/W1J6HL,1,Marathi
व्हॅलेंटाईन डे स्पेशल! आमच्या क्विझमध्ये £1000 पेक्षा जास्त जिंका आणि तुमच्या जोडीदाराला आयुष्यभराच्या सहलीवर घेऊन जा! आता 83600 वर GO पाठवा. 150p/msg rcvd. कस्टकेअर:08718720201,1,Marathi
"Well, i'm gonna finish my bath now. Have a good...fine night.",0,English
I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,0,English
तुमचे B4U व्हाउचर w/c 27/03 हे MARSMS आहे. सवलत क्रेडिटसाठी www.B4Utele.com वर लॉग इन करा. प्रत्युत्तराची निवड रद्द करण्यासाठी थांबा. ग्राहक सेवा कॉल 08717168528,1,Marathi
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,1,English
2 नए वीडियोसाउंड+2 लोगो+म्यूजिकन्यूज के लिए अपने क्रेडिट के साथ जैमस्टर वीडियोसाउंड गोल्ड क्लब का आनंद लें! Jamster.co.uk से और अधिक आनंद प्राप्त करें! 16+केवल सहायता? कॉल करें: 09701213186,1,Hindi
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",1,English
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",0,English
Orh i tot u say she now still dun believe.,0,English
"वेल डन! तुमची 4* कोस्टा डेल सोल हॉलिडे किंवा £5000 संकलनाची प्रतीक्षा आहे. क्लेम करण्यासाठी आता 09050090044 वर कॉल करा. SAE, TCs, POBox334, Stockport, SK38xh, खर्च £1.50/pm, Max10mins",1,Marathi
I.ll get there tomorrow and send it to you,0,English
Oh k.i think most of wi and nz players unsold.,0,English
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1,English
"अभिनंदन! एका चांगल्या मित्राचे आभार यू ने £2,000 चे ख्रिसमस बक्षीस जिंकले आहे. 2 दावा करणे सोपे आहे, फक्त 08718726971 वर कॉल करा! फक्त 10p प्रति मिनिट. BT-राष्ट्रीय-दर.",1,Marathi
You still coming tonight?,0,English
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",0,English
Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,1,English
आपने गारंटीकृत £1000 नकद या £2000 का पुरस्कार जीता है। वर्ष के पुरस्कार का दावा करने के लिए हमारे ग्राहक सेवा प्रतिनिधि को कॉल करें।,1,Hindi
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,English
"अहो! मला तू हवा आहेस! मला तुझी इच्छा आहे! मला तुझी आठवण येते! मला तुझी गरज आहे! मी तुझ्यावर प्रेम करतो, अहमद सईद अल हलाक...",0,Marathi
सच में लोल। उसने मेरे पिताजी को बताया कि मुझे कैंसर है,0,Hindi
FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,1,English
"तुमची जन्मतारीख महिना आणि वर्षासह पाठवा, मी तुम्हाला तुमच्या लाइफ पार्टनरचे नाव सांगेन. आणि गणना पद्धत. उत्तर दिलेच पाहिजे.",0,Marathi
"पता नहीं, मैं पूछ रहा हूं क्योंकि मुझे एक कार्ड मिला है जिसमें हेयर सेंस नामक 4 सैलून पर 20% की छूट है, इसलिए मुझे लगता है कि यह एक दिन है और आप अपने बाल काट लेंगे।",0,Hindi
अरे तुम्ही कॅमेरा चार्ज केला,0,Marathi
"क्षमा करें इसमें इतना समय लग गया, हे भगवान!",0,Hindi
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,1,English
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",1,English
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,1,English
"सोचो मुझे इसे छोड़ना पड़ सकता है। बारह बजे तक पढ़ा रहा हूं, फिर दो बजे व्याख्यान है। लानत है इस काम करने वाली चीज़ पर।",0,Hindi
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,1,English
तुम्हाला उद्या एक नवीन Nokia 3510i कलर फोन हवा आहे का? कोणत्याही मोबाईलवर 200 मोफत मिनिटे + 100 मोफत मजकूर + मोफत कॅमकॉर्डर उत्तर द्या किंवा 08000930705 वर कॉल करा,1,Marathi
